"e85c0bcf","Nephtan","2023-10-04T14:45:29-05:00","Update Beverage.cs"
"bfc27fbe","lgr-eng","2023-10-01T20:47:04-03:00","Update BaseShoppe.cs"
"a7ac22c5","Nephtan","2023-10-01T15:06:51-05:00","Merge pull request #7 from Nephtan/TrickOrTreat-Crash-Fix"
"4ee97786","Nephtan","2023-10-01T12:22:07-05:00","Update TrickOrTreat.cs"
"a6980188","Nephtan","2023-09-29T23:20:41-05:00","[BondInfo command added"
"5c1e5265","Nephtan","2023-09-29T23:12:34-05:00","Fixed Hues for Non-Human Race CharacterClones"
"d2c82e84","Nephtan","2023-09-29T21:46:04-05:00","Offline CharacterClone Paperdoll and Stealing Fix"
"d8544c0a","lgr-eng","2023-09-29T07:16:46-03:00","Update BaseShoppe.cs"
"3f39b34a","Nephtan","2023-09-26T20:54:40-05:00","Update CloneOfflinePlayerCharacters.cs"
"e834a12b","Nephtan","2023-09-26T17:12:20-05:00","Update CloneOfflinePlayerCharacters.cs"
"873f5148","Nephtan","2023-09-26T12:28:23-05:00","Added base saves"
"7feda855","Nephtan","2023-09-24T18:35:45-05:00","Merge pull request #5 from Nephtan/autostable-stable-full-fix"
"5c29487c","Nephtan","2023-09-23T10:14:04-05:00","Merge pull request #6 from Nephtan/fix-shard-greeter-gump"
"8fd86218","lgr-eng","2023-09-22T22:16:10-03:00","Update ShardGreeter.cs"
"571633ed","lgr-eng","2023-09-22T22:14:32-03:00","Delete ShardGreeter.cs"
"50afcab7","lgr-eng","2023-09-22T22:11:32-03:00","Add files via upload"
"0b66808c","Sherman","2023-09-22T19:32:41-04:00","add check to see if stable is full before autostabling pet"
"5cbe6b3f","Nephtan","2023-09-21T22:21:07-05:00","Create PandorasGiftBox.cs"
"a4666959","Nephtan","2023-09-21T17:58:23-05:00","Update BaseExplosionPotion.cs"
"efc7ac59","Nephtan","2023-09-21T17:18:21-05:00","Update MonsterSplatter.cs"
"81b75700","Nephtan","2023-09-18T20:14:15-05:00","Missed repo updates for AoE Potion Fix"
"04fa2019","Nephtan","2023-09-18T19:24:43-05:00","Merge pull request #4 from Nephtan/AoE_Potion_Fix"
"945beb64","Nephtan","2023-09-18T19:22:48-05:00","Merge pull request #3 from Nephtan/main"
"ae2f1e55","Nephtan","2023-09-18T19:21:47-05:00","Merge pull request #2 from Nephtan/AoE_Potion_Fix"
"96b5b04d","Nephtan","2023-09-15T13:28:34-05:00","Updated BaseFrostbitePotion"
"b38a85e1","Nephtan","2023-09-15T12:38:22-05:00","Update BaseConflagrationPotion.cs"
"ff9094d4","Nephtan","2023-09-14T22:36:56-05:00","Removed Region.AllowHarmful Check"
"7c7fb1b7","Nephtan","2023-09-12T12:49:10-05:00","Update CloneOfflinePlayerCharacters.cs"
"9036ded5","Nephtan","2023-09-11T22:18:55-05:00","Provocation bug fixed and Junk Removal"
"74a1352c","Nephtan","2023-09-06T13:19:43-05:00","Removing Unnecessary Logs"
"efa7973a","Nephtan","2023-09-06T13:16:40-05:00","Merge pull request #1 from Nephtan/set_autoloot_bag"
"b7cf4e47","Ilya Ostashko","2023-09-06T23:08:13+05:00","reverting internal back to regular class"
"47b6e6ed","Ilya Ostashko","2023-09-06T22:50:02+05:00","reverting the unnecessary changes"
"ddc65244","Ilya Ostashko","2023-09-06T18:11:54+05:00","simplifying the code"
"8f9790b5","Ilya Ostashko","2023-09-05T23:30:30+05:00","moving functions from Mobile to PlayerMobile and fixing"
"a75bc846","Ilya Ostashko","2023-09-05T19:48:55+05:00","setting up autoloot gump, adding methods to add to the lootbag WIP"
"c3b90fa2","Nephtan","2023-08-31T21:38:44-05:00","PvP System Update"
"d2126af8","Nephtan","2023-08-31T11:50:40-05:00","Update throttle.log"
"ef0289c3","Nephtan","2023-08-31T11:47:55-05:00","Deleted Unnecessary Info"
"0d8a3d37","Nephtan","2023-08-31T11:44:30-05:00","Deleted Unnecessary Logs"
"3066f704","Nephtan","2023-08-31T10:37:16-05:00","Initial Commit"
"b2392863","Nephtan","2023-08-31T09:21:29-05:00","Initial commit"
